Date,RANDWICK_SO2,PENRITH_SO2,RANDWICK_NO,PENRITH_NO,RANDWICK_NO2,PENRITH_NO2,RANDWICK_PM10,PENRITH_PM10,RANDWICK_PM2.5,PENRITH_PM2.5
26/03/2024,0.1,0.1,0.3,0.4,0.6,0.9,22.4,30.3,8.6,12.2
27/03/2024,0,0,0,0.2,0.1,0.9,21.2,25.6,9,11
28/03/2024,0,0.1,0,0.1,0.2,0.8,19.9,22.9,7,7.8
29/03/2024,0,0,0.1,0,0.3,0.4,15.5,17.4,7.4,7.9
30/03/2024,0.2,0.1,0.1,0.1,0.6,0.5,15.2,20.5,6.7,13.5
31/03/2024,,0.1,0.2,0,0.5,0.5,13.3,16,5.8,9.6
1/04/2024,,0.2,0.1,0.1,0.3,0.6,14.2,21,5.3,11.7
2/04/2024,,0,0.2,0.3,0.8,0.6,12.7,17.7,5.6,9.9
3/04/2024,0.1,0,0.3,0.5,0.7,0.9,18.1,23.2,5.4,11.6
4/04/2024,0,0.1,0,0.4,0.1,1.1,16.1,15.9,3.1,5.8
5/04/2024,0,0,0,0.2,0.1,0.8,24.1,6.9,4.4,2.5
6/04/2024,0.1,0,0,0,0.4,0.3,17.1,4.1,4.2,1.8
7/04/2024,0.1,0,0.1,0.1,0.6,0.5,17,9.1,5.5,3.2
8/04/2024,0.1,0,0.6,0.8,0.9,1,14.1,14.3,5.5,5.4
9/04/2024,0.1,0.1,0.9,0.9,0.9,0.6,12.2,10.4,5.2,3.7
10/04/2024,0.1,0.1,0.1,0.3,0.7,0.8,15.8,12.9,4.7,5.3
11/04/2024,0.1,0,0.4,0.6,0.8,0.9,16.1,13,5.1,4.9
12/04/2024,0.1,0,0.8,0.5,0.9,0.8,18.6,15.5,5.4,6.1
13/04/2024,0.2,0.1,0.9,0.3,1,0.7,22.1,18.2,9.2,6.9
14/04/2024,0.1,0.1,0.1,0,0.7,0.6,18.5,19.3,6.6,9.2
15/04/2024,0.1,0.1,0.8,0.6,1.2,1.3,23.7,22.7,9.6,11.3
